",",IMAGE,,BOX NO,SKU,,NOT SHOW,,link,COLOR,ok,AZMEER STATUS CHECK,Cetagory,live status, ,SELL PRICE,HUZIAF AUDIT,PRICE,TOTAL INSTOCK,1016,IN STOCK,COST,SHIPPING CHINA,TOTAL INR,FREIGHT,T.COST,SELL PRICE,TOTAL COST,2026798.78
,,,466,C88-black-43,Done ,DN,ok,sole diffrance,black,43,ok,loafers,,OK,2463,,1999,,Sold Out,,35,8,559,1200,1759,2463,,
,,,467,3414328,,,ok,,red,42,,Semi formal,Yes ,ok,,21608-21872-22585-24573-25290-25885,,,Sold Out,,,,0,,,,,
,,,468,JN-7777-BLACK-44,Done ,DN,ok,,black,44,ok,formal,,ok,3373,,3499,,In Stock,,85,8,1209,1200,2409,3373,,
,,,469,GX0650-Red-44,Done ,NOT SHOW,ok,FIX,red,44,ok,semi,Yes ,ok,3373,20664-20851-21180-21344-21367-21395-21485-21597-21607-21662-21766-21809-21822-21834-21999-22077-22215-22253-22473-24362-24507-25122-25385-25452-25482-26926-27163,3200,,Damage SOLD OUT,,85,8,1209,1200,2409,3373,,
,,ok,470,DW-04-Black-41,,DN ,ok,FIX,black,41,ok,loafers,Yes ,ok,2463,,,,In Stock,,35,8,559,1200,1759,2463,,
,,ok,471,DW-05-Black-41,,DN,ok,FIX,black,39,ok,loafers,Yes ,ok,2463,,,,In Stock,,35,8,559,1200,1759,2463,,
,,ok,472,d07-wine Red-40,Done ,DN,ok,FIX,wine red,40,ok,loafers,Yes ,ok,2463,,,,In Stock,,35,8,559,1200,1759,2463,,
,,,473,A36,Done ,DN,ok,FIX,tea gray,40,ok,loafers,Yes ,ok,2463,,1785,,Damage SOLD OUT,,35,8,559,1200,1759,2463,,
,,ok,474,LS-005-BLACK-43,Done ,DN,ok,FIX,black,43,ok,Semi formal,,OK,3373,,,,In Stock,,85,8,1209,1200,2409,3373,,
,,ok,475,C17-brown-40,Done ,DN ,ok,FIX,brown,40,ok,loafers,Yes ,ok,2463,,,,In Stock,,35,8,559,1200,1759,2463,,
,,,476,b60-black-40,Done ,DN,ok,FIX,black,40,ok,loafers,Yes ,ok,2463,,,,Damage SOLD OUT,,35,8,559,1200,1759,2463,,
,,,477,JN-667-blue-42,Done ,DN,ok,FIX,blue,42,ok,sneaker,,ok,3009,,,,Damage SOLD OUT,,65,8,949,1200,2149,3009,,
,,,478,C97,Done ,DN,ok,FIX,white,41,ok,loafers,Yes ,ok,2463,,,,Damage SOLD OUT,,35,8,559,1200,1759,2463,,
,,,479,D06,Done ,DN,ok,FIX,black,40,,loafers,Yes ,ok,2463,20777-20969-21237-21302-22400-22615-22803-22867-23409-23465-23562-23695-23829-23861-24544,,,Sold Out,,35,8,559,1200,1759,2463,,
,,,480,d07-wine Red-41,Done ,DN,ok,FIX,wine red,41,ok,loafers,Yes ,ok,2463,,,,Damage SOLD OUT,,35,8,559,1200,1759,2463,,
,,,481,a29,Done ,DN,ok,FIX,Black,40,ok,loafers,Yes ,ok,2463,22095-22553-22609-22962-22978-23057-23125-23604-23943-24331-24552-24586-24763-24772-24778-24855-25393-25525-26639-26690-26724,1800,,Damage SOLD OUT,,35,8,559,1200,1759,2463,,
,,ok,482,,,NOT SHOW ,,FIX,black,43,,formal,,ok,2372,,,,In Stock,,30,8,494,1200,1694,2372,,
,,ok,483,C17-brown-39,Done ,DN ,ok,FIX,brown,39,ok,loafers,Yes ,ok,2463,,,,In Stock,,35,8,559,1200,1759,2463,,
,,,484,tnv285,,,ok,,red,41,,sneaker,Yes ,,,,,out,Sold Out,,,,,,,,,
,,ok,485,SK0995US-brown-41,Done ,DN,ok,FIX,brown,41,ok,formal,Yes ,ok,3282,,,,In Stock,,80,8,1144,1200,2344,3282,,
,,ok,486,WA08,Done ,DN,ok,FIX,white,43,ok,loafers,Yes ,ok,2463,,,,In Stock,,35,8,559,1200,1759,2463,,
          ,,ok,487,C17-brown-42,Done ,DN ,ok,FIX,brown,42,ok,loafers,Yes ,ok,2463,,,,In Stock,,35,8,559,1200,1759,2463,,
,,,488,a29,,,ok,FIX,black,41,,loafers,Yes ,ok,2463,22095-22553-22609-22962-22978-23057-23125-23604-23943-24331-24552-24586-24763-24772-24778-24855-25393-25525-26639-26690-26724,1800,,Sold Out,,35,8,559,1200,1759,2463,,
,,,489,a29,,,ok,FIX,white,42,,loafers,Yes ,ok,,,,,Sold Out,,,,,,,,,
,,,490,WA08,,,ok,FIX,black,44,,loafers,Yes ,ok,2463,20317-20430-21042-21708-22378-23283-23515-25134-26487-26500-26980,,,Sold Out,,35,8,559,1200,1759,2463,,
,,,491,4495861-black-39,Done ,DN,ok,,black,39,ok,designer,Yes ,,,,,,In Stock,,265,8,3549,1200,4749,6649,,
,,ok,492,SK0926US-Black-39,Done ,DN,ok,FIX,black,39,ok,semi formal,Yes ,ok,3373,26945-26983,,,In Stock,,85,8,1209,1200,2409,3373,,
,,ok,493,SK0941US-Black-43,Done ,DN,ok,FIX,black,43,ok,semi formal,Yes ,ok,3373,,,,In Stock,,85,8,1209,1200,2409,3373,,
,,ok,494,SG3365,Done ,DN,ok,FIX,black,43,ok,formal,Yes ,ok,3282,24221-24223-24660-24675-25398-25618-26513-26530,,,In Stock,,80,8,1144,1200,2344,3282,,
,,,495,,,,,ok,green,41,,replica,,replica,5830,,,,In Stock,,220,8,2964,1200,4164,5830,,
,,,496,d07-wine Red-43,Done ,DN,ok,FIX,wine red,43,ok,loafers,Yes ,ok,2463,,,,Damage SOLD OUT,,35,8,559,1200,1759,2463,,
,,ok,497,d07-black-41,Done ,DN,ok,FIX,black,41,ok,loafers,Yes ,ok,2463,,,,In Stock,,35,8,559,1200,1759,2463,,
,,,498,C35-black-40,Done ,DN,ok,FIX,black,40,ok,loafers,Yes ,ok,2463,,1899,,Damage SOLD OUT,,35,8,559,1200,1759,2463,,
,,,499,D06-gray-40,Done ,DN,ok,FIX,gray,40,ok,loafers,Yes ,ok,2463,,,,Damage SOLD OUT,,35,8,559,1200,1759,2463,,
,,ok,500,A57-white-42,Done ,DN,ok,FIX,white,42,ok,loafers,Yes ,ok,2463,20716-20955-22944-25794,,,In Stock,,35,8,559,1200,1759,2463,,
,,ok,501,C17-gray-41,Done ,DN ,ok,FIX,gray,41,ok,loafers,Yes ,ok,2463,23136,,,In Stock,,35,8,559,1200,1759,2463,,
,,,502,A66,,,ok,FIX,blue,39,,loafers,Yes ,ok,,,1699,,Sold Out,,35,,455,,,,,
,,ok,503,DW-05-Black-41,,DN,No ,FIX,black,41,not show,loafers,Yes ,ok,2463,,,,In Stock,,35,8,559,1200,1759,2463,,
,,,504,b60-black-42,Done ,DN,ok,FIX,black,42,ok,loafers,Yes ,ok,2463,,,,In Stock,,35,8,559,1200,1759,2463,,
,,ok,505,C93,Done ,DN,ok,FIX,brown,40,ok,loafers,Yes ,ok,2463,,,,In Stock,,35,8,559,1200,1759,2463,,
,,,506,b60-black-39,Done ,DN,ok,FIX,black,39,ok,loafers,Yes ,ok,2463,,,,Damage SOLD OUT,,35,8,559,1200,1759,2463,,
,,,507,GG-60-gray-42,Done ,DN,ok,FIX,gray,42,ok,loafers,Yes ,ok,2463,,2199,,Damage SOLD OUT,,35,8,559,1200,1759,2463,,
,,ok,508,C95-brown-41,Done ,DN,ok,FIX,brown,41,ok,loafers,Yes ,ok,2463,,,,In Stock,,35,8,559,1200,1759,2463,,
,,ok,509,C93,Done ,DN,ok,FIX,black,40,ok,loafers,Yes ,ok,2463,,,,In Stock,,35,8,559,1200,1759,2463,,
,,,510,DW-05-Black-40,,DN,No ,FIX,black,40,not show,loafers,Yes ,ok,2463,,,,In Stock,,35,8,559,1200,1759,2463,,
,,,511,B60,Done ,DN,ok,FIX,black,41,ok,loafers,Yes ,ok,2463,,,,Damage SOLD OUT,,35,8,559,1200,1759,2463,,
,,,512,C89,Done ,DN,ok,FIX,gray,40,ok,loafers,Yes ,ok,2463,,,,Sold Out,,35,8,559,1200,1759,2463,,
,,,513,GG-60-gray-41,Done ,DN,ok,FIX,gray,41,ok,loafers,Yes ,ok,2463,,2199,,Damage SOLD OUT,,35,8,559,1200,1759,2463,,
,,,514,SK0925US-beige-39,Done ,DN,ok,FIX,beige,39,ok,sneaker,Yes ,ok,3245,,2800,,Damage SOLD OUT,,78,8,1118,1200,2318,3245,,
,,ok,515,A40,Done ,DN,ok,FIX,black,41,not show,loafers,Yes ,ok,2463,,1899,,In Stock,,35,8,559,1200,1759,2463,,
,,ok,516,,,,,wrong,Beige,39,,loafers,,no,2463,,,,In Stock,,35,8,559,1200,1759,2463,,
,,,517,D06-black-39,Done ,DN,ok,FIX,black,39,ok,loafers,Yes ,ok,2463,21237-21302-22615-22803-22867-23465-23562-23695-23829,,,Damage SOLD OUT,,35,8,559,1200,1759,2463,,
,,,518,LS-001,,ok,ok,FIX,black,44,,semi formal,Yes ,ok,2372,,,,Sold Out,UNCLE,30,8,494,1200,1694,2372,,
,,ok,519,C17-gray-43,Done ,DN ,ok,FIX,gray,43,ok,loafers,Yes ,ok,2463,,,,In Stock,,35,8,559,1200,1759,2463,,
,,,520,WA08,,,ok,FIX,white,42,,loafers,Yes ,ok,,20317-20430-21042-21708-22378-23283-23515-25134-26487-26500-26980,,,Sold Out,,35,8,559,650,1209,1693,,
,,ok,521,SK0940US-YP-A310 black-41,Done ,DN,ok,FIX,black,41,ok,semi formal,Yes ,ok,3464,,,,In Stock,,90,8,1274,1200,2474,3464,,
,,ok,522,SK0939US-blue-45,Done ,NOT SHOW,ok,FIX,blue,45,ok,semi slipper,Yes ,ok,3373,,,,In Stock,,85,8,1209,1200,2409,3373,,
,,,523,B32-black 44,,,,FIX,black,44,,sandel,Yes ,ok,3009,25218-25630-25632-25636-26897-27166,,G MISSING OUT,Sold Out,,65,8,949,1200,2149,3009,,
,,ok,524,B32-black 45,Done ,DN,ok,FIX,black,45,ok,sandel,Yes ,ok,3009,25218-25630-25632-25636-26897-27166,,,In Stock,,65,8,949,1200,2149,3009,,
,,,525,C88-black-41,Done ,DN ,ok,wrong,black,41,ok,loafers,,OK,2463,,1999,,Sold Out,,35,8,559,1200,1759,2463,,
,,,526,,,,,,black,43,,replica,,replica,7650,,,,In Stock,,320,8,4264,1200,5464,7650,,
,,,527,JNL-0021-Brown-42,Done ,DN,ok,ok,brown,42,ok,formal,,ok,2372,,,,Damage SOLD OUT,,30,8,494,1200,1694,2372,,
,,ok,528,CS-001-black-40,Done ,DM,ok,FIX,black,40,ok,WOMEN SHOES,Yes ,ok,473,20412-20658-21123-21576-23379-24323-25896,,,In Stock,,18,8,338,,338,473,,
,,ok,529,CS-001-PInk-38,Done ,DM,ok,FIX,pink,38,ok,WOMEN SHOES,No,ok,473,21144-23256,,,In Stock,,18,8,338,,338,473,,
,,ok,530,CS-003-Purple-38,,DN,ok,FIX,purple,38,ok,WOMEN SHOES,Yes ,ok,473,20237-20238-20293-20441-20502-22459-22925-23197-25904-26849,350,,In Stock,,18,8,338,,338,473,,
,,,530,CS-003-Purple-38,,DN,ok,FIX,purple,38,ok,WOMEN SHOES,Yes ,ok,473,,350,,In Stock,,18,8,338,,338,473,,
,,ok,531,CS-003-Purple-36,,DN,ok,FIX,purple,36,ok,WOMEN SHOES,No ,ok,473,,350,,In Stock,,18,8,338,,338,473,,
,,ok,531,CS-003-Purple-36,,DN,ok,FIX,purple,36,ok,WOMEN SHOES,Yes ,ok,473,,350,,In Stock,,18,8,338,,338,473,,
,,ok,532,CS-003-Purple-37,,DN,ok,FIX,purple,37,ok,WOMEN SHOES,Yes ,ok,473,,350,,In Stock,,18,8,338,,338,473,,
,,ok,532,CS-003-Purple-37,,DN,ok,FIX,purple,37,ok,WOMEN SHOES,Yes ,ok,473,,350,,In Stock,,18,8,338,,338,473,,
,,ok,533,CS-003-Purple-39,,DN,ok,FIX,purple,37,ok,WOMEN SHOES,Yes ,ok,473,,350,,In Stock,,18,8,338,,338,473,,
,,ok,533,CS-003-Purple-39,,DN,ok,FIX,purple,38,ok,WOMEN SHOES,Yes ,ok,473,,350,,In Stock,,18,8,338,,338,473,,
,,ok,534,CS-003-Purple-38,,DN,ok,FIX,purple,38,ok,WOMEN SHOES,Yes ,ok,473,,350,,In Stock,,18,8,338,,338,473,,
,,ok,535,CS-003-Purple-40,,DN,ok,FIX,purple,40,ok,WOMEN SHOES,Yes ,ok,473,,350,,In Stock,,18,8,338,,338,473,,
,,ok,536,CS-003-blue-37,,DN,ok,FIX,blue,37,ok,WOMEN SHOES,Yes ,ok,473,,350,,In Stock,,18,8,338,,338,473,,
,,ok,536,CS-003-blue-37,,DN,ok,FIX,blue,37,ok,WOMEN SHOES,Yes ,ok,473,,350,,In Stock,,18,8,338,,338,473,,
,,ok,537,CS-003-blue-38,,DN,ok,FIX,blue,38,ok,WOMEN SHOES,Yes ,ok,473,,350,,In Stock,,18,8,338,,338,473,,
,,ok,537,CS-003-blue-38,,DN,ok,FIX,blue,38,ok,WOMEN SHOES,Yes ,ok,473,,350,,In Stock,,18,8,338,,338,473,,
,,ok,538,CS-003-blue-39,,DN,ok,FIX,blue,39,ok,WOMEN SHOES,No ,ok,473,,350,,In Stock,,18,8,338,,338,473,,
,,ok,539,CS-003-black-38,,DN,ok,FIX,black,38,showing sold out,WOMEN SHOES,Yes ,ok,473,,350,,In Stock,,18,8,338,,338,473,,
,,ok,539,CS-003-black-38,,DN,ok,FIX,black,38,showing sold out,WOMEN SHOES,Yes ,ok,473,,350,,In Stock,,18,8,338,,338,473,,
,,,540,CS-021-white-38,,DN,ok,NV,white,38,ok,WOMEN SHOES,Yes ,ok,473,,,,In Stock,,18,8,338,,338,473,,
,,,540,CS-021-white-38,,DN,ok,NV,white,38,ok,WOMEN SHOES,YES ,OK,473,,399,,In Stock,,18,8,338,,338,473,,
,,,540,CS-021-white-39,,DN,ok,FIX,white,39,ok,WOMEN SHOES,Yes ,ok,473,,399,,In Stock,,18,8,338,,338,473,,
,,ok,541,CS-021-black-39,,DN,ok,FIX,black,39,ok,WOMEN SHOES,Yes ,ok,473,,399,,In Stock,,18,8,338,,338,473,,
,,ok,541,CS-021-black-39,,DN,ok,FIX,black,39,ok,WOMEN SHOES,Yes ,ok,473,,399,,In Stock,,18,8,338,,338,473,,
,,ok,541,CS-021-black-40,,DN,ok,FIX,black,40,38-39 size show,WOMEN SHOES,Yes ,ok,473,,399,,In Stock,,18,8,338,,338,473,,
,,ok,542,CS-015-white-36,,DN,ok,FIX,white,36,ok,WOMEN SHOES,Yes ,ok,473,20389-20637-20785-21175-24999,450,,In Stock,,18,8,338,,338,473,,
,,ok,542,CS-015-white-38,,DN,ok,FIX,white,38,ok,WOMEN SHOES,Yes ,ok,473,,450,,In Stock,,18,8,338,,338,473,,
,,ok,542,CS-015-white-39,,DN,ok,FIX,white,39,ok,WOMEN SHOES,Yes ,ok,473,,450,,In Stock,,18,8,338,,338,473,,
,,ok,543,CS-013-black-38,,DN ,ok,FIX,black,38,ok,WOMEN SHOES,Yes ,ok,473,20311-20573-20662-23129-27175,,,In Stock,,18,8,338,,338,473,,
,,ok,543,CS-013-black-39,,DN ,ok,FIX,black,39,ok,WOMEN SHOES,Yes ,ok,473,,,,In Stock,,18,8,338,,338,473,,
,,ok,543,CS-013-black-40,,DN ,ok,FIX,black,40,ok,WOMEN SHOES,Yes ,ok,473,,,,In Stock,,18,8,338,,338,473,,
,,ok,544,CS-013-black-36,,DN ,ok,FIX,black,36,ok,WOMEN SHOES,Yes ,ok,473,,,,In Stock,,18,8,338,,338,473,,
,,ok,544,CS-013-black-36,,DN ,ok,FIX,black,36,ok,WOMEN SHOES,Yes ,ok,473,,,,In Stock,,18,8,338,,338,473,,
,,ok,544,CS-013-black-36,,DN ,ok,FIX,black,36,ok,WOMEN SHOES,Yes ,ok,473,,,,In Stock,,18,8,338,,338,473,,
,,,545,CS-013-black-37,,DN ,ok,FIX,black,37,ok,WOMEN SHOES,Yes ,ok,473,,,,In Stock,,18,8,338,,338,473,,
,,ok,545,CS-013-black-38,,DN ,ok,FIX,black,38,ok,WOMEN SHOES,Yes ,ok,473,,,,In Stock,,18,8,338,,338,473,,
,,ok,545,CS-013-black-39,,DN ,ok,FIX,black,39,ok,WOMEN SHOES,Yes ,ok,473,,,,In Stock,,18,8,338,,338,473,,
,,ok,546,CS-021-pink-36,,DN,ok,FIX,pink,36,ok,WOMEN SHOES,Yes ,ok,473,,399,,In Stock,,18,8,338,,338,473,,
,,ok,546,CS-021-pink-38,,DN,ok,FIX,pink,38,ok,WOMEN SHOES,Yes ,ok,473,,399,,In Stock,,18,8,338,,338,473,,
,,ok,547,CS-004-black-37,,DN ,ok,FIX,black,37,ok,WOMEN SHOES,Yes ,ok,473,27047,,,In Stock,,18,8,338,,338,473,,
,,ok,547,CS-004-black-38,,DN ,ok,FIX,black,38,ok,WOMEN SHOES,Yes ,ok,473,,,,In Stock,,18,8,338,,338,473,,
,,ok,548,CS-004-black-37,,DN ,ok,FIX,black,37,ok,WOMEN SHOES,Yes ,ok,473,,,,In Stock,,18,8,338,,338,473,,
,,,548,CS-004,,,,FIX,black,39,,WOMEN SHOES,Yes ,,,,,,Sold Out,,,,,,,,,
,,,549,CS-014,,,,FIX,white,37,,WOMEN SHOES,Yes ,ok,473,20272-20999-20091-27054,375,G missing out,Sold Out,,18,8,338,,338,473,,
,,,549,CS-014,,,,FIX,white,39,,WOMEN SHOES,No ,ok,473,,375,G missing out,Sold Out,,18,8,338,,338,473,,
,,ok,550,CS-016-Cream-40,,DN ,ok,FIX,cream,40,ok,WOMEN SHOES,Yes ,ok,473,,375,,In Stock,,18,8,338,,338,473,,
,,ok,550,CS-016-Cream-40,,DN ,ok,FIX,cream,40,ok,WOMEN SHOES,Yes ,ok,473,,375,,In Stock,,18,8,338,,338,473,,
,,ok,551,CS-013-cream-36,,DN ,ok,FIX,cream,36,ok,WOMEN SHOES,Yes ,ok,473,20311-20573-20662-23129-27175,,,In Stock,,18,8,338,,338,473,,
,,ok,551,CS-013-cream-36,,DN ,ok,FIX,cream,36,ok,WOMEN SHOES,Yes ,ok,473,,,,In Stock,,18,8,338,,338,473,,
,,ok,551,CS-013-cream-37,,DN ,ok,FIX,cream,37,ok,WOMEN SHOES,Yes ,ok,473,,,,In Stock,,18,8,338,,338,473,,
,,ok,552,CS-009-silver-36,,DN ,ok,FIX,silver,36,ok,WOMEN SHOES,Yes ,ok,473,,450,,In Stock,,18,8,338,,338,473,,
,,ok,552,CS-009-silver-37,,DN ,ok,FIX,silver,37,ok,WOMEN SHOES,Yes ,ok,473,,450,,In Stock,,18,8,338,,338,473,,
,,ok,552,CS-009-silver-39,,DN ,ok,FIX,silver,39,ok,WOMEN SHOES,Yes ,ok,473,,450,,In Stock,,18,8,338,,338,473,,
,,ok,553,CS-021-pink-37,,DN,ok,FIX,pink,37,ok(add size 36),WOMEN SHOES,Yes ,ok,473,,399,,In Stock,,18,8,338,,338,473,,
,,ok,553,CS-021-pink-38,,DN,ok,FIX,pink,38,ok,WOMEN SHOES,Yes ,ok,473,,399,,In Stock,,18,8,338,,338,473,,
,,ok,553,CS-021-pink-40,,DN,ok,FIX,pink,40,ok,WOMEN SHOES,Yes ,ok,473,,399,,In Stock,,18,8,338,,338,473,,
,,ok,554,CS-011-white-36,,DN,ok,FIX,white,36,ok,WOMEN SHOES,Yes ,ok,473,20940-21031-21098-21876-22204-22921-27175-,,,In Stock,,18,8,338,,338,473,,
,,,554,CS-011-white-37,,DN,ok,FIX,white,37,ok,WOMEN SHOES,Yes ,ok,473,,,,In Stock,,18,8,338,,338,473,,
,,ok,554,CS-011-white-38,,DN,ok,FIX,white,38,ok,WOMEN SHOES,Yes ,ok,473,,,,In Stock,,18,8,338,,338,473,,
,,ok,555,CS-011-black-37,,DN,ok,FIX,black,37,ok(add size 36),WOMEN SHOES,Yes ,ok,473,20245-20497-21100-21478-21876-22457-22921,,,In Stock,,18,8,338,,338,473,,
,,ok,555,CS-011-black-38,,DN,ok,FIX,black,38,ok,WOMEN SHOES,Yes ,ok,473,,,,In Stock,,18,8,338,,338,473,,
,,ok,555,CS-011-black-39,,DN,ok,FIX,black,39,ok,WOMEN SHOES,Yes ,ok,473,,,,In Stock,,18,8,338,,338,473,,
,,ok,556,CS-200-Golden-36,,DN,ok,FIX,golden,36,ok,WOMEN SHOES,Yes ,ok,473,26740,,,In Stock,,18,8,338,,338,473,,
,,ok,556,CS-200-Golden-37,,DN,ok,FIX,golden,36,ok,WOMEN SHOES,Yes ,ok,473,,,,In Stock,,18,8,338,,338,473,,
,,ok,556,CS-200-Golden-38,,DN,ok,FIX,golden,38,ok,WOMEN SHOES,Yes ,ok,473,,,,In Stock,,18,8,338,,338,473,,
,,ok,557,CS-200-Silver-37,,DN ,ok,FIX,silver,37,ok,WOMEN SHOES,Yes ,ok,473,,,,In Stock,,18,8,338,,338,473,,
,,ok,557,CS-200-Silver-39,,DN ,ok,FIX,silver,39,ok,WOMEN SHOES,Yes ,ok,473,,,,In Stock,,18,8,338,,338,473,,
,,,557,CS-200-Silver-40,,DN ,ok,FIX,silver,40,ok,WOMEN SHOES,Yes ,ok,473,,,,In Stock,,18,8,338,,338,473,,
,,ok,558,CS-300-green-36,,DN,ok,FIX,green,36,ok(add size 37),WOMEN SHOES,Yes ,ok,473,27047,650,,In Stock,,18,8,338,,338,473,,
,,ok,558,CS-300-green-38,,DN,ok,FIX,green,38,ok,WOMEN SHOES,Yes ,ok,473,,650,,In Stock,,18,8,338,,338,473,,
,,,558,CS-300,,,,FIX,green,39,,WOMEN SHOES,Yes ,,,,,OUT,Sold Out,,,,,,,,,
,,ok,559,CS-011-cream-37,,DN,ok,FIX,cream,37,ok,WOMEN SHOES,Yes ,ok,473,20220-20245-20940-20031-21106-21876-23114-27175,,,In Stock,,18,8,338,,338,473,,
,,ok,559,CS-011-cream-39,,DN,ok,FIX,cream,39,ok,WOMEN SHOES,Yes ,ok,473,,,,In Stock,,18,8,338,,338,473,,
,,ok,559,CS-011-cream-39,,DN,ok,FIX,cream,39,ok,WOMEN SHOES,Yes ,ok,473,,,,In Stock,,18,8,338,,338,473,,
,,ok,560,CS-020-cream-36,,DN,ok,FIX,cream,36,ok(add size 39-40),WOMEN SHOES,Yes ,ok,473,,,,In Stock,,18,8,338,,338,473,,
,,ok,560,CS-020-cream-36,,DN,ok,FIX,cream,36,ok(add size 39-40),WOMEN SHOES,Yes ,ok,473,,,,In Stock,,18,8,338,,338,473,,
,,ok,560,CS-020-cream-37,,DN,ok,FIX,cream,37,ok(add size 39-40),WOMEN SHOES,Yes ,ok,473,,,,In Stock,,18,8,338,,338,473,,
,,ok,561,CS-011-black-36,,DN,ok,FIX,black,36,(add size 38),WOMEN SHOES,Yes ,ok,473,20245-20377-20939-2100-21478-21876,,,In Stock,,18,8,338,,338,473,,
,,ok,561,CS-011-black-37,,DN,ok,FIX,black,37,(add size 38),WOMEN SHOES,Yes ,ok,473,,,,In Stock,,18,8,338,,338,473,,
,,ok,561,CS-011-black-39,,DN,ok,FIX,black,39,(add size 38),WOMEN SHOES,Yes ,ok,473,,,,In Stock,,18,8,338,,338,473,,
,,ok,562,CS-200-Golden-38,,DN,ok,FIX,golden,38,ok,WOMEN SHOES,Yes ,ok,473,26740,,,In Stock,,18,8,338,,338,473,,
,,ok,562,CS-200-Golden-39,,DN,ok,FIX,golden,39,ok,WOMEN SHOES,Yes ,ok,473, ,,,In Stock,,18,8,338,,338,473,,
,,,562,CS-200-Golden-40,,DN,ok,FIX,golden,40,ok,WOMEN SHOES,Yes ,ok,473,,,,In Stock,,18,8,338,,338,473,,
,,ok,563,CS-200-Silver-37,,DN ,ok,FIX,silver,38,ok,WOMEN SHOES,Yes ,ok,473,,,,In Stock,,18,8,338,,338,473,,
,,ok,563,CS-009-silver-38,,DN ,ok,FIX,silver,38,(add size 36-37-39),WOMEN SHOES,Yes ,ok,473,,450,,In Stock,,18,8,338,,338,473,,
,,ok,564,CS-200-black-38,,DN,ok,NV,black,38,NV,WOMEN SHOES,Yes ,ok,473,26740,,,In Stock,,18,8,338,,338,473,,
,,,564,CS-013-black-39,,DN ,ok,FIX,black,39,ok,WOMEN SHOES,Yes ,ok,473,,,,In Stock,,18,8,338,,338,473,,
,,ok,564,CS-020-black-40,,DN,ok,FIX,black,40,not show,WOMEN SHOES,Yes ,ok,473,,,,In Stock,,18,8,338,,338,473,,
,,ok,565,CS-020-black-36,,DN,ok,FIX,black,36,not show,women slipper,Yes ,ok,473,,,,In Stock,,18,8,338,,338,473,,
,,ok,565,CS-020-black-37,,DN,ok,FIX,black,37,not show,women slipper,Yes ,ok,473,,,,In Stock,,18,8,338,,338,473,,
,,ok,565,CS-020-black-38,,DN,ok,FIX,black,38,NV,women slipper,Yes ,ok,473,,,,In Stock,,18,8,338,,338,473,,
,,ok,566,CS-013-black-37,,DN ,ok,FIX,black,37,ok,women slipper,Yes ,ok,473,20573-20662-27175,,,In Stock,,18,8,338,,338,473,,
,,ok,566,CS-013-black-37,,DN ,ok,FIX,black,37,ok,women slipper,Yes ,ok,473,,,,In Stock,,18,8,338,,338,473,,
,,ok,566,CS-013-black-40,,DN ,ok,FIX,black,40,ok,women slipper,Yes ,ok,473,,,,In Stock,,18,8,338,,338,473,,
,,ok,567,CS-013-cream-39,,DN ,ok,FIX,Cream,39,ok,women slipper,Yes ,ok,473,,,,In Stock,,18,8,338,,338,473,,
,,ok,567,CS-013-cream-39,,DN ,ok,FIX,Cream,39,ok,women slipper,Yes ,ok,473,,,,In Stock,,18,8,338,,338,473,,
,,ok,567,CS-013-cream-40,,DN ,ok,FIX,Cream,40,ok,women slipper,Yes ,ok,473,,,,In Stock,,18,8,338,,338,473,,
,,ok,568,CS-200-Silver-37,,DN ,ok,FIX,silver,36,ok,women slipper,Yes ,ok,473,,,,In Stock,,18,8,338,,338,473,,
,,ok,568,CS-200-Silver-37,,DN ,ok,FIX,silver,38,ok,women slipper,Yes ,ok,473,,,,In Stock,,18,8,338,,338,473,,
,,ok,568,CS-200-Silver-37,,DN ,ok,FIX,silver,39,ok,women slipper,Yes ,ok,473,,,,In Stock,,18,8,338,,338,473,,
,,ok,569,CS-011-cream-36,,DN,ok,FIX,cream,36,ok,women slipper,Yes ,ok,473,20220-20245-20940-21031-21098-21106-21876-22204-23114-27175,,,In Stock,,18,8,338,,338,473,,
,,ok,569,CS-011-cream-37,,DN,ok,FIX,cream,37,ok,women slipper,Yes ,ok,473,,,,In Stock,,18,8,338,,338,473,,
,,ok,569,CS-011-cream-39,,DN,ok,FIX,cream,39,ok,women slipper,Yes ,ok,473,,,,In Stock,,18,8,338,,338,473,,
,,ok,570,CS-300-red-37,,DN,ok,FIX,red,37,add size (36),women slipper,Yes ,ok,473,,650,,In Stock,,18,8,338,,338,473,,
,,ok,570,CS-300-red-37,,DN,ok,FIX,red,37,add size (36),women slipper,Yes ,ok,473,,650,,In Stock,,18,8,338,,338,473,,
,,ok,570,CS-300-red-40,,DN,ok,FIX,red,40,ok,women slipper,Yes ,ok,473,,650,,In Stock,,18,8,338,,338,473,,
,,ok,571,CS-013-cream-36,,DN ,ok,FIX,cream,36,ok,women slipper,Yes ,ok,473,22921-23169-23238,,,In Stock,,18,8,338,,338,473,,
,,ok,571,CS-013-cream-37,,DN ,ok,FIX,cream,37,ok,women slipper,Yes ,ok,473,,,,In Stock,,18,8,338,,338,473,,
,,ok,571,CS-013-cream-38,,DN ,ok,FIX,cream,38,ok,women slipper,Yes ,ok,473,,,,In Stock,,18,8,338,,338,473,,
,,ok,572,CS-200-Golden-36,,DN,ok,FIX,golden,36,ok,women slipper,Yes ,ok,473,,,,In Stock,,18,8,338,,338,473,,
